课程名       ,课程描述                     ,教室号码 ,教师   ,上课节数 ,周几上课 ,上课周数 ,课程学分 ,课程容量 ,已选人数
中华美术鉴赏 ,了解中华美术文化             ,     101 ,张老师 ,       3 ,3      ,1-16     ,       3 ,     100 ,      10
英语口语     ,提高英语口语技巧             ,     103 ,王老师 ,       3 ,3      ,1-16     ,       3 ,     100 ,      10
数字摄影     ,掌握基础摄影技巧             ,     104 ,李老师 ,       2 ,4      ,1-16     ,       2 ,      50 ,      20
计算机基础   ,学习计算机操作和基本编程     ,     102 ,赵老师 ,       4 ,6      ,1-16     ,       4 ,     120 ,      25
历史哲学     ,探索不同文化的历史与哲学     ,     205 ,孙老师 ,       3 ,1      ,1-16     ,       3 ,      90 ,      30
物理学入门   ,理解基础物理原理和实验       ,     106 ,周老师 ,       4 ,5      ,1-16     ,       3 ,      80 ,      15
环境科学     ,研究环境保护和可持续发展     ,     208 ,吴老师 ,       2 ,6      ,1-16     ,       2 ,      60 ,      12
音乐理论     ,学习音乐基础知识与理论       ,     109 ,陈老师 ,       2 ,2      ,1-16     ,       2 ,      70 ,       9
国际关系     ,分析全球政治经济关系         ,     201 ,郑老师 ,       3 ,4      ,1-16     ,       3 ,      80 ,      40
数学分析     ,深入研究高等数学问题         ,     107 ,黄老师 ,       5 ,5      ,1-16     ,       4 ,      75 ,       5
经济学原理   ,掌握微观与宏观经济学基础     ,     202 ,徐老师 ,       4 ,2      ,1-16     ,       3 ,     100 ,      20
社会心理学   ,了解社会行为和心理动机       ,     204 ,何老师 ,       3 ,3      ,1-16     ,       2 ,      65 ,      30
现代艺术     ,探索20世纪以来的艺术运动     ,     303 ,刘老师 ,       2 ,7      ,1-16     ,       2 ,      40 ,       8
全球健康     ,研究全球健康问题与政策       ,     305 ,蔡老师 ,       2 ,4      ,1-16     ,       2 ,      50 ,      22
机器学习     ,了解人工智能与机器学习的基础 ,     310 ,高老师 ,       5 ,7      ,1-16     ,       4 ,     100 ,      45